tanggal,komoditas_id,komoditas,grup,satuan,harga_kemarin,harga,hari_nama,is_weekend,is_libur_nasional,nama_libur,is_ramadan,is_pra_ramadan
2020-01-01,24,Susu Bubuk Merk Indomilk (Instant),SUSU,400 gr/dos,39000,39000,Rabu,0,1,New Year's Day,0,0
2020-01-01,25,Jagung Pipilan Kering,Jagung Pipilan Kering,kg,9750,9750,Rabu,0,1,New Year's Day,0,0
2020-01-01,27,Bata,GARAM BERYODIUM,Buah,2000,2000,Rabu,0,1,New Year's Day,0,0
2020-01-01,28,Halus,GARAM BERYODIUM,kg,8000,8000,Rabu,0,1,New Year's Day,0,0
2020-01-01,30,Terigu Protein Sedang (Kemasan),TEPUNG TERIGU,kg,8500,8500,Rabu,0,1,New Year's Day,0,0
2020-01-01,32,Kedelai Impor,KACANG KEDELAI,kg,9000,9000,Rabu,0,1,New Year's Day,0,0
2020-01-01,33,Kedelai Lokal,KACANG KEDELAI,kg,8000,8000,Rabu,0,1,New Year's Day,0,0
2020-01-01,35,Indomie Rasa Kari Ayam,MIE INSTANT,Bungkus,2500,2500,Rabu,0,1,New Year's Day,0,0
2020-01-01,37,Cabe Merah Keriting,CABE,kg,40000,40000,Rabu,0,1,New Year's Day,0,0
2020-01-01,38,Cabe Merah Besar,CABE,kg,35000,35000,Rabu,0,1,New Year's Day,0,0
2020-01-01,50,Cabe Rawit Merah,CABE,kg,35000,35000,Rabu,0,1,New Year's Day,0,0
2020-01-01,39,Bawang Merah,BAWANG,kg,26000,25000,Rabu,0,1,New Year's Day,0,0
2020-01-01,49,Bawang Putih Sinco/Honan,BAWANG,kg,24000,24000,Rabu,0,1,New Year's Day,0,0
2020-01-01,40,Ikan Asin Teri,Ikan Asin Teri,kg,70000,70000,Rabu,0,1,New Year's Day,0,0
2020-01-01,41,KACANG HIJAU,KACANG HIJAU,kg,15000,15000,Rabu,0,1,New Year's Day,0,0
2020-01-01,42,KACANG TANAH,KACANG TANAH,kg,21000,21000,Rabu,0,1,New Year's Day,0,0
2020-01-01,43,KETELA POHON,KETELA POHON,kg,6000,6000,Rabu,0,1,New Year's Day,0,0
2020-01-01,44,KOL/KUBIS,SAYUR MAYUR,kg,6000,6000,Rabu,0,1,New Year's Day,0,0
2020-01-01,45,KENTANG,SAYUR MAYUR,kg,14000,14000,Rabu,0,1,New Year's Day,0,0
2020-01-01,46,Tomat Merah,SAYUR MAYUR,kg,11000,11000,Rabu,0,1,New Year's Day,0,0
2020-01-01,47,WORTEL,SAYUR MAYUR,kg,8000,8000,Rabu,0,1,New Year's Day,0,0
2020-01-01,48,BUNCIS,SAYUR MAYUR,kg,12000,10000,Rabu,0,1,New Year's Day,0,0
2020-01-01,58,Ikan Bandeng,IKAN SEGAR,kg,26000,28000,Rabu,0,1,New Year's Day,0,0
2020-01-01,59,Ikan Kembung,IKAN SEGAR,kg,24000,25000,Rabu,0,1,New Year's Day,0,0
2020-01-01,61,Ikan Tuna,IKAN SEGAR,kg,35000,35000,Rabu,0,1,New Year's Day,0,0
2020-01-01,60,Ikan Tongkol,IKAN SEGAR,kg,27000,30000,Rabu,0,1,New Year's Day,0,0
2020-01-01,62,Ikan Cakalang,IKAN SEGAR,kg,30000,30000,Rabu,0,1,New Year's Day,0,0
2020-01-02,2,Beras Premium,BERAS,kg,12500,12500,Kamis,0,0,,0,0
2020-01-02,4,Beras Medium,BERAS,kg,9000,9000,Kamis,0,0,,0,0
2020-01-02,7,Gula Kristal Putih,GULA,kg,13000,13000,Kamis,0,0,,0,0
2020-01-02,10,Minyak Goreng Curah,MINYAK GORENG,kg,12000,12500,Kamis,0,0,,0,0
2020-01-02,92,Minyak Goreng Kemasan Premium,MINYAK GORENG,1 liter,12000,12000,Kamis,0,0,,0,0
2020-01-02,95,Minyak Goreng Kemasan Sederhana,MINYAK GORENG,1 Liter,0,0,Kamis,0,0,,0,0
2020-01-02,96,Minyak Goreng MINYAKITA,MINYAK GORENG,1 Liter,0,0,Kamis,0,0,,0,0
2020-01-02,12,Daging Sapi Paha Belakang,DAGING,kg,110000,110000,Kamis,0,0,,0,0
2020-01-02,13,Daging Ayam Ras,DAGING,kg,32000,30000,Kamis,0,0,,0,0
2020-01-02,14,Daging Ayam Kampung,DAGING,ekor,70000,70000,Kamis,0,0,,0,0
2020-01-02,16,Telur Ayam Ras,TELUR AYAM,kg,23000,23000,Kamis,0,0,,0,0
2020-01-02,17,Telur Ayam Kampung,TELUR AYAM,kg,40000,40000,Kamis,0,0,,0,0
2020-01-02,20,Susu Kental Manis Merk Bendera,SUSU,370 gr/kl,10000,10000,Kamis,0,0,,0,0
2020-01-02,21,Susu Kental Manis Merk Indomilk,SUSU,370 gr/kl,10000,10000,Kamis,0,0,,0,0
2020-01-02,23,Susu Bubuk Merk Bendera (Instant),SUSU,400 gr/dos,37900,37900,Kamis,0,0,,0,0
2020-01-02,24,Susu Bubuk Merk Indomilk (Instant),SUSU,400 gr/dos,39000,39000,Kamis,0,0,,0,0
2020-01-02,25,Jagung Pipilan Kering,Jagung Pipilan Kering,kg,9750,9750,Kamis,0,0,,0,0
2020-01-02,27,Bata,GARAM BERYODIUM,Buah,2000,2000,Kamis,0,0,,0,0
2020-01-02,28,Halus,GARAM BERYODIUM,kg,8000,8000,Kamis,0,0,,0,0
2020-01-02,30,Terigu Protein Sedang (Kemasan),TEPUNG TERIGU,kg,8500,8500,Kamis,0,0,,0,0
2020-01-02,32,Kedelai Impor,KACANG KEDELAI,kg,9000,9000,Kamis,0,0,,0,0
2020-01-02,33,Kedelai Lokal,KACANG KEDELAI,kg,8000,8000,Kamis,0,0,,0,0
2020-01-02,35,Indomie Rasa Kari Ayam,MIE INSTANT,Bungkus,2500,2500,Kamis,0,0,,0,0
2020-01-02,37,Cabe Merah Keriting,CABE,kg,40000,40000,Kamis,0,0,,0,0
2020-01-02,38,Cabe Merah Besar,CABE,kg,35000,40000,Kamis,0,0,,0,0
2020-01-02,50,Cabe Rawit Merah,CABE,kg,35000,35000,Kamis,0,0,,0,0
2020-01-02,39,Bawang Merah,BAWANG,kg,25000,28000,Kamis,0,0,,0,0
2020-01-02,49,Bawang Putih Sinco/Honan,BAWANG,kg,24000,22000,Kamis,0,0,,0,0
2020-01-02,40,Ikan Asin Teri,Ikan Asin Teri,kg,70000,70000,Kamis,0,0,,0,0
2020-01-02,41,KACANG HIJAU,KACANG HIJAU,kg,15000,15000,Kamis,0,0,,0,0
2020-01-02,42,KACANG TANAH,KACANG TANAH,kg,21000,21000,Kamis,0,0,,0,0
2020-01-02,43,KETELA POHON,KETELA POHON,kg,6000,6000,Kamis,0,0,,0,0
2020-01-02,44,KOL/KUBIS,SAYUR MAYUR,kg,6000,6000,Kamis,0,0,,0,0
2020-01-02,45,KENTANG,SAYUR MAYUR,kg,14000,12000,Kamis,0,0,,0,0
2020-01-02,46,Tomat Merah,SAYUR MAYUR,kg,11000,12000,Kamis,0,0,,0,0
2020-01-02,47,WORTEL,SAYUR MAYUR,kg,8000,8000,Kamis,0,0,,0,0
2020-01-02,48,BUNCIS,SAYUR MAYUR,kg,10000,12000,Kamis,0,0,,0,0
2020-01-02,58,Ikan Bandeng,IKAN SEGAR,kg,28000,35000,Kamis,0,0,,0,0
2020-01-02,59,Ikan Kembung,IKAN SEGAR,kg,25000,28000,Kamis,0,0,,0,0
