Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB REMBANG,-0.29,0.83,0.53,-0.07,0.24,0.4,-0.29,-,-,-,-,-,-
KUDUS,-0.26,0.74,0.47,0.02,0.31,0.29,-0.13,-,-,-,-,-,-
KOTA SURAKARTA,-0.38,0.9,0.48,-0.1,0.31,0.32,-0.01,-,-,-,-,-,-
KOTA SEMARANG,-0.25,0.67,0.37,0.17,0.16,0.42,-0.06,-,-,-,-,-,-
KOTA TEGAL,-0.24,0.86,0.54,-0.09,0.14,0.26,-0.09,-,-,-,-,-,-
KAB GUNUNGKIDUL,-0.17,0.66,0.55,0.17,0.12,0.28,-0.42,-,-,-,-,-,-
KOTA YOGYAKARTA,-0.14,0.72,0.33,-0.01,0.2,0.46,-0.17,-,-,-,-,-,-
KAB TULUNGAGUNG,-0.18,1.03,0.47,-0.18,0.19,0.04,-0.23,-,-,-,-,-,-
JEMBER,-0.29,1.14,0.65,-0.44,0.19,0.11,-0.24,-,-,-,-,-,-
BANYUWANGI,-0.21,0.94,0.37,-0.28,0.18,0.14,-0.55,-,-,-,-,-,-
KAB BOJONEGORO,-0.33,0.91,0.65,-0.35,0.29,0.21,-0.47,-,-,-,-,-,-
KAB GRESIK,-0.45,0.76,0.98,-0.4,0.17,0.19,-0.23,-,-,-,-,-,-
SUMENEP,0.34,1.08,0.89,-0.4,0.16,0.01,-0.57,-,-,-,-,-,-
KOTA KEDIRI,-0.37,0.87,0.41,-0.12,0.35,0.12,-0.14,-,-,-,-,-,-
KOTA MALANG,-0.1,0.74,0.34,0.05,0.18,0.43,-0.2,-,-,-,-,-,-
KOTA PROBOLINGGO,-0.03,1.12,0.69,-0.65,0.03,0.18,-0.14,-,-,-,-,-,-
KOTA MADIUN,-0.23,0.74,0.49,-0.02,0.35,0.37,-0.12,-,-,-,-,-,-
KOTA SURABAYA,-0.16,0.99,0.13,0.37,0.37,0.46,-0.22,-,-,-,-,-,-
KAB PANDEGLANG,-0.5,1.64,1.05,-0.13,-0.16,0.43,-0.55,-,-,-,-,-,-
KAB LEBAK,-0.34,1.52,0.62,-0.35,0.19,-0.03,0.16,-,-,-,-,-,-
KOTA TANGERANG,-0.38,0.64,0.36,-0.11,-0.15,0.57,-0.19,-,-,-,-,-,-
KOTA CILEGON,-0.12,0.85,0.24,0.31,0.21,0.17,-0.12,-,-,-,-,-,-
KOTA SERANG,-0.16,0.73,0.31,0.1,0.51,0.45,-0.47,-,-,-,-,-,-
KAB TABANAN,-0.21,0.48,0.63,-0.17,0.54,0.92,-0.56,-,-,-,-,-,-
KAB BADUNG,-0.78,1.04,0.5,-0.17,0.25,0.69,-0.59,-,-,-,-,-,-
SINGARAJA,-0.44,0.77,0.9,-0.08,0.37,0.46,-0.91,-,-,-,-,-,-
KOTA DENPASAR,-0.13,0.57,0.42,0.19,0.5,0.75,-0.3,-,-,-,-,-,-
KAB SUMBAWA,0.8,0.67,0.91,-0.52,-0.21,0.41,-0.37,-,-,-,-,-,-
KOTA MATARAM,-0.21,0.96,0.85,0.11,-0.08,0.35,-0.34,-,-,-,-,-,-
KOTA BIMA,0.61,0.91,0.29,0.28,0.26,0.36,-0.31,-,-,-,-,-,-
WAINGAPU,1.45,0.69,0.04,0.52,-0.24,0.81,-0.22,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,1.4,0.03,0.38,0.97,-1.06,0.88,-0.47,-,-,-,-,-,-
MAUMERE,1.69,0.16,0.02,0.3,-0.14,1.13,0.34,-,-,-,-,-,-
KAB NGADA,0.68,0.04,0.28,1.15,-0.01,0.23,0.02,-,-,-,-,-,-
KOTA KUPANG,0.14,0.71,0.23,0.09,0.02,0.6,-0.08,-,-,-,-,-,-
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,0.61,0.45,0.21,0.72,0.28,0.15,0.63,-,-,-,-,-,-
SINTANG,0.55,0.56,0.2,0.25,0.36,0.36,0.44,-,-,-,-,-,-
KAB KAYONG UTARA,0.18,0.36,0.37,0.43,0.24,0.2,0.39,-,-,-,-,-,-
KOTA PONTIANAK,0.07,0.57,0.17,0.59,0.43,0.37,0.27,-,-,-,-,-,-
KOTA SINGKAWANG,0.11,0.53,0.55,0.42,-0.13,0.46,0.14,-,-,-,-,-,-
SAMPIT,0.41,0.61,0.43,0.44,0.42,0.28,0.12,-,-,-,-,-,-
KAB KAPUAS,0.47,0.67,0.89,0.41,-0.32,0.33,0.37,-,-,-,-,-,-
KAB SUKAMARA,0.03,0.76,0.09,0.44,0.63,0.13,0.44,-,-,-,-,-,-
KOTA PALANGKA RAYA,0.36,0.17,0.44,0.4,0.7,0.16,0.16,-,-,-,-,-,-
KAB TANAH LAUT,-0.03,1.09,1.15,-0.09,0.21,0.48,-0.08,-,-,-,-,-,-
KOTABARU,0.36,0.6,0.3,0.31,0.49,0.31,0.12,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,0.48,0.82,0.38,0.38,-0.17,0.03,-0.68,-,-,-,-,-,-
TANJUNG,0.81,1.34,0.45,-0.11,-0.41,0.43,0.02,-,-,-,-,-,-
KOTA BANJARMASIN,0.13,0.76,0.35,-0.14,0.31,0.59,0.18,-,-,-,-,-,-
KAB BERAU,-0.32,0.15,0.76,0.5,0.16,0.27,-0.18,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,0.05,0.89,1.09,0.33,-0.06,0.39,0.28,-,-,-,-,-,-
KOTA BALIKPAPAN,-0.11,0.75,0.51,-0.05,0.27,0.86,0.25,-,-,-,-,-,-
KOTA SAMARINDA,0.26,0.56,0.86,0.11,0.11,0.72,0.2,-,-,-,-,-,-
TANJUNG SELOR,-0.43,0.56,0.41,0.23,0.39,0.67,-0.91,-,-,-,-,-,-
KAB NUNUKAN,0.81,0.24,0.53,0.04,-0.03,0.37,-0.74,-,-,-,-,-,-
KOTA TARAKAN,-0.15,0.58,0.63,-0.06,0.41,0.45,-0.57,-,-,-,-,-,-
KAB MINAHASA SELATAN,0.37,1.5,0.41,1.4,-1.39,2.84,-1.84,-,-,-,-,-,-
KAB MINAHASA UTARA,0.94,1.45,-0.35,0.94,-0.51,2.83,-2.32,-,-,-,-,-,-
KOTA MANADO,0.79,0.75,0.32,0.89,-0.47,1.72,-0.43,-,-,-,-,-,-
KOTA KOTAMOBAGU,-0.12,1.13,0.72,0.67,-0.34,2.14,-1.17,-,-,-,-,-,-
LUWUK,0.07,0.92,0.37,0.63,0.79,1.16,0.78,-,-,-,-,-,-
KAB MOROWALI,-0.13,0.57,0.62,0.87,0.12,1.04,0.3,-,-,-,-,-,-
KAB TOLI TOLI,-0.85,1.59,0.3,0.48,0.63,2.26,-1.57,-,-,-,-,-,-
KOTA PALU,0.24,0.66,0.33,0.38,0.11,0.79,0.16,-,-,-,-,-,-
BULUKUMBA,0.29,0.63,0.35,0.36,0.02,0.2,-0.14,-,-,-,-,-,-
WATAMPONE,0.91,0.48,0.8,0.38,-0.02,0.18,-0.31,-,-,-,-,-,-
KAB WAJO,0.34,1.08,0.93,-0.52,0.54,0.32,-0.23,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,1.39,0.96,0.36,0.05,-0.17,0.16,-0.66,-,-,-,-,-,-
KAB LUWU TIMUR,0.34,0.63,1.07,-0.08,0.31,0.82,-0.19,-,-,-,-,-,-
KOTA MAKASSAR,0.37,1.23,0.57,-0.07,0.06,0.38,-0.14,-,-,-,-,-,-
KOTA PARE-PARE,0.47,0.65,0.49,-0.08,0.32,0.03,0.16,-,-,-,-,-,-
KOTA PALOPO,0.37,0.49,0.2,0.47,-0.05,0.45,-0.3,-,-,-,-,-,-
KAB KONAWE,-0.06,0.28,1.14,0.46,0.9,1,0.54,-,-,-,-,-,-
KAB KOLAKA,1.82,1.05,0.78,-0.18,0.59,0.51,-0.19,-,-,-,-,-,-
KOTA KENDARI,0.44,0.38,0.33,0.69,0.98,1.5,-0.16,-,-,-,-,-,-
KOTA BAU-BAU,0.9,1.44,-0.75,0.96,1.13,2.13,-1.26,-,-,-,-,-,-
KAB GORONTALO,0.68,0.91,0.17,1.02,-1.19,2.57,-0.45,-,-,-,-,-,-
